question,choices,answer_key,cot_response,predicted
You can share files with someone if you have a connection to a what?,"['freeway', 'radio', 'wires', 'computer network', 'electrical circuit']",D,"A: The answer must be something that can be used to share files. Of the above choices, computer network is the most used for that. So the answer is (d).",D
"Sean was lying about the body, but he was very scared.  He constantly worried about what?","['the reward money', 'hurt feelings', 'being found out', 'problems', 'trouble']",C,"A: The answer should be something that someone lying about a body might be scared of. Of the above choices, being found out is the most natural answer. So the answer is (c).",C
"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?","['park', 'make time for', 'receive instructions', 'take money', 'leave work']",D,"A: The answer must be something a drug kingpin's man might do for the dealers. Of the above choices, take money is the most sense. So the answer is (d).",D
Too many people want exotic snakes.  The demand is driving what to carry them?,"['ditch', 'shop', 'north america', 'pet shops', 'outdoors']",D,"A: The answer must be a place where exotic snakes are for people to carry them. Of the above choices, pet shops are the most natural place to carry exotic snakes. So the answer is (d).",D
"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?","['knife wounds', 'buy a gun', 'bleeding', 'jail time', 'law suit']",E,"A: The answer must be something a family of a victim might do to someone who did something to them. Of the above choices, a law suit is something a family might do. So the answer is (e).",E
To prevent any glare during the big football game he made sure to clean the dust of his what?,"['television', 'attic', 'corner', 'they cannot clean corner and library during football match they cannot need that', 'ground']",A,"A: The answer must be something that can have dust and glare. Of the above choices, only television can have dust and glare. So the answer is (a).",A
"He wanted a house that was gated off from other places, where should he start looking?","['neighborhood', 'subdivision', 'city', 'suburbs', 'street']",B,"A: The answer should be a place where gated off areas are most. Of the above choices, subdivision is the most place where gated off areas are. So the answer is (b).",B
Where in Southern Europe would you find many canals?,"['michigan', 'new york', 'amsterdam', 'venice', 'bridge']",D,"A: The answer must be a place in Southern Europe with canals. Of the above choices, only venice is in Southern Europe and is a city with many canals. So the answer is (d).",D
What would a camper need to do before he or she can start cooking food?,"['make breakfast', 'go hiking', 'pack or bag', 'light fire', 'grab a match']",D,"A: The answer must be something a camper would need to do before cooking. Of the above choices, only light fire is a must before cooking. So the answer is (d).",D
What could happen to a paper if you leave it outside even if it does not move?,"['one material often recycled', 'ripped', 'saturated with water', 'one dimensional', 'crumpled']",C,"A: The answer must be something that could happen to paper if it is outside. Of the above choices, saturated with water is the most natural. So the answer is (c).",C
What is a great place to lay in the sun?,"['in the basement', 'west', 'solar system', 'beach', 'beans']",D,"A: The answer must be a place where you can lay in the sun. Of the above choices, only beach is a place where you can lay in the sun. So the answer is (d).",D
Where would you find a seafood restaurant in the east coast of North America?,"['maine', 'boston', 'beach town', 'coastal cities', 'ocean']",A,"A: The answer must be a place where seafood is a natural and would be a restaurant. Of the above choices, all of the choices are coastal and would have seafood. So the answer is (a).",A
The president is the leader of what institution?,"['walmart', 'white house', 'country', 'corporation', 'government']",E,"A: The answer must be the institution the president is the leader of. Of the above choices, the president is the leader of the government. So the answer is (e).",E
Sitting to close while watching TV can cause what sort of pain?,"['brain problems', 'laziness', 'get fat', 'headache', 'laughter']",D,"A: The answer must be a pain that can be cause from watching TV close. Of the above choices, headache is the most sense. So the answer is (d).",D
Where is a bald eagle safe?,"['pine tree', 'open country', 'in washington', 'wildlife refuge', 'sky']",D,"A: The answer must be a place where a bald eagle is safe from people and other wildlife. Of the above choices, wildlife refuge is a place where bald eagle are safe. So the answer is (d).",D
"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?","['costly', 'captive', 'contained', 'paying', 'caught']",D,"A: The answer should be what the parents were doing to the microtransactions. Of the above choices, paying is the most sense. So the answer is (d).",D
What kind of driving leads to accidents?,"['stressful', 'dangerous', 'fun', 'illegal', 'deadly']",B,"A: The answer must be a kind of driving that is dangerous and leads to accidents. Of the above choices, dangerous is the most dangerous. So the answer is (b).",B
What is eating too much dinner likely to result in?,"['tiredness', 'living longer', 'stomach ache', 'illness', 'acid reflux']",C,"A: The answer must be a likely result of eating too much dinner. Of the above choices, stomach ache, illness, and acid reflux are all likely to result from eating too much. So the answer is (c).",C
What is a person chatting with friends likely hoping to accomplish?,"['gathering of information', 'communication', 'feel relaxed', 'kill boredom', 'social bonding']",E,"A: The answer should be the likely feeling of someone chatting with friends. Of the above choices, social bonding is the most likely feeling. So the answer is (e).",E
"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?","['disneyland', 'snow', 'windowsill', 'street', 'summer']",D,"A: The answer must be a place where the surface can be hot from the sunshine. Of the above choices, the street is the most natural place for bare feet to be burned. So the answer is (d).",D
"A fox was thirsty searching for water during the drought, where was he?","['painting', 'hen house', 'california', 'virginia', 'movie hall']",C,"A: The answer must be a place where a fox might be during a drought. Of the above choices, only california and virginia are states where a fox might be. So the answer is (c).",C
What might be the result of a season of successful skiing?,"['finish line', 'broken bones', 'broken legs', 'chapped lips', 'healthy body']",E,"A: The answer should be a result of successful skiing. Of the above choices, a healthy body is a result of successful skiing. So the answer is (e).",E
"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?","['near', 'closeness', 'here', 'proximity', 'this']",D,"A: The answer must be a kind of sensor that can sense distance. Of the above choices, proximity sensor makes the most sense. So the answer is (d).",D
"The man was eating lunch, but rushed when he looked at his watch, why did he rush?","['gain weight', 'late for work', 'heartburn', 'bad breath', 'early for work']",B,"A: The answer must be a rush that makes sense for someone looking at a watch. Of the above choices, late for work makes the most sense. So the answer is (b).",B
The person gave a good hands on what to show how to do the work?,"['demonstration', 'garage', 'building', 'barn', 'synagogue']",A,"A: The answer must be something that is a hands on show of how to do something. Of the above choices, demonstration is the only answer that makes sense. So the answer is (a).",A
Where would you see some people doing jumping jacks?,"['military base', 'opera', 'water fountain', 'bus stop', 'church']",A,"A: The answer must be a place where people might do jumping jacks for a work out. Of the above choices, military base is the most place where people do jumping jacks. So the answer is (a).",A
"The body guard was good at his duties, he made the person who hired him what?","['better job', 'irritated', 'feel safe', 'save money', 'headache']",C,"A: The answer should be the feeling the person who hired the body guard should feel. Of the above choices, feel safe is the most natural feeling. So the answer is (c).",C
"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,","['better communication', 'overthinking', 'frustration', 'misunderstandings', 'headaches']",C,"A: The answer should be a likely feeling that someone might have from the uncomfortable misinterpretation. Of the above choices, frustration is the most likely feeling. So the answer is (c).",C
What is the only was to recover from exhaustion?,"['mediate', 'have rest', 'stay in bed', 'run out of steam', 'go to sleep']",B,"A: The answer must be something that can recover someone from exhaustion. Of the above choices, only rest can recover someone from exhaustion. So the answer is (b).",B
What would you do if you want to be able to earn money?,"['apply for job', 'stand in line', 'take care of proposals', 'pass course', 'play the lottery']",A,"A: The answer must be something that can earn you money. Of the above choices, only apply for a job is a job that can earn you money. So the answer is (a).",A
What is a grumpy person likely to have?,"['headache', 'understand themselves', 'compliments', 'own house', 'happiness']",A,"A: The answer should be something a grumpy person is likely to have. Of the above choices, a grumpy person is likely to have a headache. So the answer is (a).",A
What do drugs do?,"['damage', 'cloud mind', 'lower i.q', 'cause illness', 'cause accidents']",E,"(a) all of the above
A: The answer should be the most all the above choices. So the answer is (e).",E
"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?","['reach tentative agreement', 'suicide', 'examine thing', 'commit murder', 'stay in bed']",A,"A: The answer should be a natural and most sense after a few drinks. Of the above choices, reach tentative agreement makes the most sense. So the answer is (a).",A
Where could a fungus grow and not be disturbed by sunlight?,"['under rocks', 'manhattan', 'toenails', 'grocery store', 'fallen tree']",A,"A: The answer must be a place where sunlight is not a lot. Of the above choices, under rocks and toenails are the most out of sunlight. So the answer is (a).",A
Can you name a good reason for attending school?,"['get smart', 'boredom', 'colds and flu', 'taking tests', 'spend time']",A,"A: The answer should be a good reason for attending school. Of the above choices, getting smart is a good reason for attending school. So the answer is (a).",A
What state south of Kentucky and north of Alabama will you find people playing the fiddle?,"['alabama', 'tennessee', 'violin case', 'music store', 'bow and strings']",B,"A: The answer must be a state that is south of Kentucky and north of Alabama. Of the above choices, only tennessee is in that place. So the answer is (b).",B
"Though she made the cut years ago, its figurative scars would never what?","['joining', 'put together', 'stitch', 'heal', 'paste']",D,"A: The answer must be something that scars would never do. Of the above choices, only heal is the only answer that makes sense. So the answer is (d).",D
Where would you see people in uniform playing with a ball?,"['hole', 'television', 'sporting goods store', 'pool table', 'sporting event']",E,"A: The answer must be a place where people in uniform would be playing a ball. Of the above choices, sporting event is the most natural place for that. So the answer is (e).",E
Who was the head of the branch yelling at?,"['owner', 'foot', 'subordinate', 'base', 'point']",C,"A: The answer must be someone who the head of the branch might be yelling at. Of the above choices, subordinate is the most sense. So the answer is (c).",C
"He made another call, he did this all day hoping people would what well to his offer?","['hang up', 'respond', 'contact', 'answer', 'attracting ducks']",B,"A: The answer must be something people would do in a call. Of the above choices, respond is the most natural answer. So the answer is (b).",B
"She needs to visit a bookshop after buying the latest fashion, where should she look?","['student union', 'mall', 'department store', 'library', 'town or city']",B,"A: The answer must be a place where books are. Of the above choices, only bookshop is a place where books are. So the answer is (b).",B
Where could you see an advertisement while reading news?,"['television', 'bus', 'email', 'web page', 'la ville']",D,"A: The answer must be a place where you can see news and advertisement. Of the above choices, web page is the most place where you can see news and advertisement. So the answer is (d).",D
What is required to be good at playing tennis?,"['tennis racket', 'skill', 'competition', 'tennis court', 'legs']",B,"A: The answer must be something that is required to be good at playing tennis. Of the above choices, skill is the most required. So the answer is (b).",B
"The man went to clown college, he had always want to run away with the what?","['circus', 'carnival', 'surprise', 'spoons', 'party']",A,"A: The answer must be something a clown is a party of. Of the above choices, circus and carnival are the most natural choices. So the answer is (a).",A
James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,"['death', 'coma', 'peace', 'forgetfulness', 'loss of life']",A,"A: The answer must be something that James is scared of losing consciousness. Of the above choices, death is the most natural and most people are scared of. So the answer is (a).",A
"If someone is aloof and self-important, what is their experience when meeting people?","['stress', 'nervousness', 'smile', 'being bored', 'making new friends']",D,"A: The answer should be a feeling someone might have when meeting people, and it should be something that someone aloof and self-important might feel. Of the above choices, being bored is the most natural feeling for someone aloof and self-important. So the answer is (d).",D
"He was receiving workman's compensation, he had tripped over a metal rod while building where?","['factory', 'construction site', 'engine', ""insides of skyscraper's walls"", 'shops']",B,"A: The answer must be a place where someone might be building and where a metal rod might be. Of the above choices, construction site makes the most sense. So the answer is (b).",B
John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,"['static', 'train of thought.', 'progress', 'transfer of information', 'collaboration']",C,"A: The answer must be something that is slowed. Of the above choices, progress is the most natural answer. So the answer is (c).",C
When you play around with your dog they will have?,"['alive', 'health', 'fun', 'playing dead', 'black']",C,"A: The answer should be something a dog will have from playing. Of the above choices, fun is the most natural answer. So the answer is (c).",C
"The student needed to  get some new pencils, where did he go?","['store', 'classroom', 'backpack', 'cabinet', 'teacher']",A,"A: The answer must be a place where pencils are for. Of the above choices, a store is the most place to go to for pencils. So the answer is (a).",A
"She loved buying products, she was driven by her what to shop more than any practical needs?","['desire', 'money', 'time', 'credit', 'spending money']",A,"A: The answer should be the feeling that makes someone shop more than practical needs. Of the above choices, desire is the closest feeling. So the answer is (a).",A
How does getting paid feel?,"['income tax', 'satisfaction', 'sorrow', 'ocean', 'bill collectors to happy']",B,"A: The answer should be a feeling someone might have getting paid. Of the above choices, satisfaction is the most natural feeling. So the answer is (b).",B
Where can meat last a long time?,"['backery', 'ham sandwich', 'fridge', 'butcher shop', 'freezer']",E,"A: The answer must be a place that can be used to long last meat. Of the above choices, only freezer can be used to long last meat. So the answer is (e).",E
What group of musicians will include someone playing the cello?,"['ocean', 'symphony', 'band', 'music store', 'music shop']",B,"A: The answer must be a group of musicians that use a cello. Of the above choices, symphony is the most natural place for a cello to be. So the answer is (b).",B
Where do bees congregate with red flowerS?,"['trash can', 'honey', 'bouquet of flowers', 'rose garden', 'field of flowers']",D,"A: The answer must be a place where bees are and red flowers are. Of the above choices, a rose garden and a field of flowers are the most natural place for bees and red flowers. So the answer is (d).",D
What is someone who gets angry after getting drunk likely to participate in?,"['violence', 'falling down', 'vomiting', 'vomiting', 'lower standards']",A,"A: The answer must be something that someone who gets angry after getting drunk might do. Of the above choices, violence is the most likely. So the answer is (a).",A
"The teacher told all the students that listening was key, it was the main way they would gain what?","['empathy', 'anxiety', 'knowlege', 'falling down', 'hear things']",C,"A: The answer must be something you gain from listening. Of the above choices, the closest answer is (c) knowlege. So the answer is (c).",C
Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,"['reality', 'imagination', 'dreamworker', 'nightmare', 'awake']",A,"A: The answer must be something that is very vivid and scary, just a dream. Of the above choices, reality is the only other place where something can be vivid and scary. So the answer is (a).",A
The city's community garden was demolished for yet another what?,"['wasteland', 'ocean', 'desert', 'parking lot', 'flowers']",D,"A: The answer must be something that is a place where a community garden might be demolished for. Of the above choices, parking lot is the most sense. So the answer is (d).",D
WHat do cats get into when they are ripping things apart?,"[""dog's mouth"", 'floor', 'garage', 'trouble', 'nature']",D,"A: The answer should be something that cats get into when they are ripping things apart. Of the above choices, trouble is the most sense. So the answer is (d).",D
"The skin was cut while chopping onions, where was this skin likely cut?","['good health', 'finger', 'meat', 'body', 'own family']",B,"A: The answer must be a place where skin is. Of the above choices, only finger is a place where skin is cut while chopping onions. So the answer is (b).",B
"The accountant used a calculator regularly, he kept one at home and one at the what?","['desk drawer', 'desktop', 'office', 'wristwatch', 'city hall']",C,"A: The answer must be a place where an accountant might work. Of the above choices, only office makes sense. So the answer is (c).",C
At the end of your meal what will a waiter do?,"['serve food', 'eat', 'set table', 'serve meal', 'present bill']",E,"A: The answer must be something a waiter will do to end a meal. Of the above choices, only present bill makes sense. So the answer is (e).",E
"It was a great rest, she had never felt this much what in the morning?","['active', 'hunger', 'in motion', 'wakefulness', 'lay down']",D,"A: The answer should be a feeling someone might have in the morning from a great rest. Of the above choices, wakefulness is the most natural feeling. So the answer is (d).",D
Where would you find a bee gathering pollen?,"['united states', 'sky', 'court', 'field of flowers', 'orchard']",D,"A: The answer must be a place where flowers are. Of the above choices, a field of flowers and an orchard are the most natural place for a bee to find pollen. So the answer is (d).",D
Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,"['roof', 'school', 'beach', 'closet', 'garage']",D,"A: The answer must be a place to put a chair that is not in use. Of the above choices, closet and garage are the most sense. So the answer is (d).",D
How do geese normally get from place to place?,"['carried by people', 'guard house', 'fly', 'follow ultralight airplane', 'group together']",C,"A: The answer must be a natural and most used by geese to get from place to place. Of the above choices, only fly is a natural and most used by geese to get from place to place. So the answer is (c).",C
John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,"['hostility', 'anger', 'nose', 'fists', 'hands']",E,"A: The answer must be the injured item that would be unable to hold tools. Of the above choices, only hands are used to hold tools. So the answer is (e).",E
"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?","['living room', 'dog park', 'basket', 'small apartment', 'big house']",E,"A: The answer must be a place where a small dog can feel like it had all the space in the world. Of the above choices, the living room, small apartment, and big house are all indoors and a small dog might feel like it had all the space in the world in a big house. So the answer is (e).",E
WHat leads to someone's death when they are very depressed?,"['suicide', 'overdosing', 'sadness', 'murder', 'cyanide']",A,"A: The answer must be something that can be a death when someone is very depressed. Of the above choices, suicide and overdosing are the most. So the answer is (a).",A
"She was sick and staying in bed the day of the event, unfortunately this meant she was what?","['resting', 'sleep more', 'bed sores', 'missing out', 'comfort']",D,"A: The answer should be the natural and most used to be the feeling of someone missing an event. Of the above choices, missing out is the most natural answer. So the answer is (d).",D
Where would a lizard surprise a person?,"['new mexico', 'forrest', 'dessert', 'garden', 'creek']",D,"A: The answer must be a place where a lizard might be. Of the above choices, garden is the most natural habitat for a lizard. So the answer is (d).",D
"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?","['picnic', ""friend's house"", 'table', 'space shuttle', 'fairgrounds']",B,"A: The answer must be a place where people might have a big game together. Of the above choices, friend's house makes the most sense. So the answer is (b).",B
Who is likely yo have a caring heart?,"['person', 'species', 'artichoke', 'all mammals', 'live animal']",A,"A: The answer must be something that can have a caring heart. Of the above choices, only person is a likely to have a caring heart. So the answer is (a).",A
"I'm looking for alcohol and fried foods, any suggestions?","['pub', 'plane', 'beer', 'store', 'fraternity house']",A,"A: The answer must be a place that is most to have alcohol and fried foods. Of the above choices, a pub is the most place to have alcohol and fried foods. So the answer is (a).",A
"If I had a jar which was likely to spoil if left out, where would I want to put it?","['kitchen cupboard', 'pantry', 'grocery store', 'pantry', 'refrigerator']",E,"A: The answer must be a place that is likely to be a place to store something that can spoil. Of the above choices, the refrigerator is the most likely place to store something that can spoil. So the answer is (e).",E
Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,"['books', 'france', 'fish market', 'atlantic ocean', 'cuba']",B,"A: The answer must be a place where you can have sushi. Of the above choices, only france is a place where you can have sushi. So the answer is (b).",B
What will happen to skin pinched in something?,"['feel cold', 'feel pressure', 'feel bumpy', 'itches', 'feel clammy']",B,"A: The answer must be a feeling that someone will have from something pinched. Of the above choices, the most natural feeling is pressure. So the answer is (b).",B
"Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.","[""child's hand"", 'the last straw', 'hobby shop', 'end of line', 'toy store']",D,"A: The answer must be the place where the string on the kite is. Of the above choices, the end of line is the place where the string on the kite is. So the answer is (d).",D
"The man uses grooming before a job interview, what is he trying to portray?","['looking good', 'beauty', 'tardiness', 'handsomeness', 'neatness']",E,"A: The answer should be the feeling someone is trying to portray with grooming. Of the above choices, neatness is the most natural feeling to portray with grooming. So the answer is (e).",E
Where is a tabby cat likely to be happiest?,"['box', 'home', 'alley', 'lap', 'barn']",D,"A: The answer should be a place where a cat might feel most home and most likely to be happiest. Of the above choices, the lap is the most likely place a tabby cat might be happiest. So the answer is (d).",D
East coast areas such as Florida are found where?,"['florida', 'denmark', 'united states', 'map', 'california']",C,"A: The answer must be a place where Florida is found. Of the above choices, only the united states is where Florida is found. So the answer is (c).",C
"To learn must have the right book, to work efficiently what must one have?","['improve yourself', 'become knowledgeable', 'have tools', 'persistence', 'have more knowledge']",C,"A: The answer must be something that is used to work efficiently. Of the above choices, tools are used to work efficiently. So the answer is (c).",C
What is a mobile launching platform found in the ocean?,"['launch pad', 'circus', 'aircraft carrier', 'large open area', 'space station']",C,"A: The answer must be a platform in the ocean used to launch something. Of the above choices, aircraft carrier is the only platform in the ocean used to launch aircraft. So the answer is (c).",C
There weren't potatoes but actually a snake in his what?,"['burlap sack', 'hot country', 'purse', 'pet shops', 'deep grass']",A,"A: The answer must be a place where a snake might be. Of the above choices, burlap sack is the most place where a snake might be. So the answer is (a).",A
"If you want to make a big splash in a river with a rock, from where should you throw it?","['mountains countryside', 'ground', 'bridge', 'mountain range', 'surface of earth']",C,"A: The answer should be a place that is above the river. Of the above choices, only bridge is above the river. So the answer is (c).",C
What is committing perjury likely to lead to?,"['shame', 'arrest', 'embarrassment', 'go to jail', 'tension']",B,"A: The answer must be a likely and natural outc
Q: What is the most likely place to be a place of work for a calligrapher? Answer Choices: (a) grocery
(b) home
(c) desk
(d) market
(e) pen
A: The answer must be a place where a calligrapher might work. Of the above choices, home is the most likely place for a calligrapher to work. So the answer is (b).",B
"The new play was the go to performance of the year, all the crowds would stand and what?","['admiration', 'applaud', 'make reservations', 'experience', 'sleep']",B,"A: The answer should be something people do to applaud a performance. Of the above choices, applaud is the most natural answer. So the answer is (b).",B
"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?","['park', 'coloring book', 'garden center', 'math problem', 'gravity']",D,"A: The answer must be something that the problem is an example of. Of the above choices, math problem is the most natural answer. So the answer is (d).",D
Where are people likely to find food?,"['opera', 'supermarket', 'building', 'conference', 'apartment']",B,"A: The answer must be a place where food is likely to be. Of the above choices, only supermarket is a place where food is likely to be. So the answer is (b).",B
What might a kid do with his friend before going to play?,"['laugh', 'sit', 'being entertained', 'math', 'meet']",E,"A: The answer should be something that people do before going to play. Of the above choices, meet is the most sense. So the answer is (e).",E
What is a person who is well educated?,"['illiterate', 'knowledgable', 'own house', 'have enough food', 'meet expectations']",B,"A: The answer must be a person who is well educated. Of the above choices, only knowledgable is a person who is well educated. So the answer is (b).",B
"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?","['prison', 'bridge', 'locked up', 'homeless shelter', ""neighbor's house""]",A,"A: The answer must be a place where someone might be for 8 years for a mistake. Of the above choices, prison is the most sense. So the answer is (a).",A
Where do you buy tickets at a ticket booth for games/,"['train station', 'cathedral', 'metro station', 'fairgrounds', 'amusement park']",D,"A: The answer must be a place where games are. Of the above choices, fairgrounds and amusement park are the most place where games are. So the answer is (d).",D
A soccer field that is not contained in a building would be where?,"['playground', 'mexico', 'town', 'outside', 'world cup']",D,"A: The answer must be a place where a soccer field would be. Of the above choices, outside is the most natural place for a soccer field. So the answer is (d).",D
Letters are sometimes delivered by hand through one of these.,"['mail box', 'suitcase', 'front door', 'bowl', 'post office']",C,"A: The answer must be a place where mail is delivered by hand. Of the above choices, only front door is a place where mail can be delivered by hand. So the answer is (c).",C
John came to see Sam and Sam kicked him out.  Sam didn't like company.  He prefered what?,"['you', 'abbreviation', 'solitude', 'loneliness', 'alone']",C,"A: The answer must be something that Sam wanted to be, which is the feeling of John's company. Of the above choices, solitude is the closest feeling to that. So the answer is (c).",C
"If somebody likes temperatures cool, they might have more than one electric fan where?","['home', 'hardware store', 'home', 'hot room', 'office']",A,"A: The answer must be a place where someone might use a fan to cool the room. Of the above choices, home and office are the most natural. So the answer is (a).",A
"The president had to make a decision regarding the hate attack on his country, what did he do?","['wage war', 'fight enemy', 'kill', 'destroy enemy', 'attacked his country']",A,"A: The answer should be a decision a president might make in a hate attack. Of the above choices, wage war is the most a president might do. So the answer is (a).",A
"He had done a great job with the scary decorations, they were completely what?","['terrible', 'little', 'halloween', 'small', 'horrible']",E,"A: The answer should be a feeling that scary decorations are. Of the above choices, horrible is the closest feeling to scary. So the answer is (e).",E
"If you did well on the test, you might get an A as a what?","['see work', 'practice', 'quiz', 'school grade', 'homework']",D,"A: The answer must be something that a grade is a. Of the above choices, only school grade is a grade. So the answer is (d).",D
If you tell you boss your suffering from boredom they'll likely tell you to get back to what?,"['dream', 'fiddle', 'watch film', 'see new', 'work']",E,"A: The answer should be something a boss might tell an an an who is suffering from boredom to do. Of the above choices, work is the most likely answer. So the answer is (e).",E
What is a good result of jogging?,"['insect repellent', 'heart attacks', 'improved health', 'shin splints', 'being tired']",C,"A: The answer must be a good result of jogging. Of the above choices, only improved health is a good result of jogging. So the answer is (c).",C
What is done to wood to attach something to it?,"['nailed', 'carved', 'polished', 'eat cake', 'petrify']",A,"A: The answer must be something that is done to wood to attach something to it. Of the above choices, only nailed is used to attach something to wood. So the answer is (a).",A
"Sometimes fighting inflation isn't even what, because it is so negligible?","['economic instability', 'not noticeable', 'spend more', 'rising interest rates', 'boring']",B,"A: The answer should be a feeling that inflation is so negligible it's not a noticeable. Of the above choices, not noticeable is the closest. So the answer is (b).",B
Where is likely to have a lot of fire extinguishers?,"['garage', 'hospital', 'boat', 'house', 'doll house']",B,"A: The answer must be a place where fire extinguishers are likely to be for fire and fire equipment. Of the above choices, hospital is the most likely place to have a lot of fire extinguishers. So the answer is (b).",B
Where would someone learn to play an upright piano?,"['music room', 'music store', 'music class', 'medium', 'house']",C,"A: The answer must be a place where someone would learn to play an upright piano. Of the above choices, music class is the most place to learn to play an upright piano. So the answer is (c).",C
"John and Jane were a couple.  They were dating for a while and wanted to be together for even longer. For this reason, they did what?","['make sex', 'plan to marry', 'dance', 'electrical circuit', 'row about']",B,"A: The answer should be something that a couple who is dating and looking to be together longer might do. Of the above choices, the most natural answer is to plan to marry. So the answer is (b).",B
What emotion does getting paid lead to?,"['sorrow', 'paying bills', 'happiness', 'frustration', 'spending money']",C,"A: The answer should be a feeling someone might have getting paid. Of the above choices, happiness is the most natural feeling. So the answer is (c).",C
What is a characteristic of thin glass?,"['break easily', 'shattering', 'melt', 'bend', 'hold water']",A,"A: The answer must be something that is a characteristic of thin glass. Of the above choices, thin glass is most easily break. So the answer is (a).",A
